                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.198,                 1.8956,                0.98373,                 1.2251,                0.62794,                0.63184,                0.61185,                0.34125,                0.66479,                0.66667,                0.66103,                0.34096,                 1.5424,                 2.6616,                 1.4085,                 1.4964,               0.001586,               0.001586,               0.001586
                     25,                 1.1706,                 1.8785,                0.94807,                 1.2079,                0.64748,                 0.6488,                0.62162,                0.34714,                0.65161,                0.63682,                0.64151,                0.34806,                 1.5473,                  2.622,                 1.4121,                  1.485,               0.001568,               0.001568,               0.001568
                     26,                  1.148,                 1.8497,                0.93703,                 1.1879,                0.65601,                0.67164,                0.66692,                0.37943,                0.67401,                0.68657,                0.68834,                0.37339,                  1.463,                 2.5625,                 1.2875,                 1.4054,                0.00155,                0.00155,                0.00155
                     27,                 1.1372,                   1.83,                0.90783,                 1.1918,                0.65196,                0.66667,                0.66418,                0.38734,                 0.6552,                0.65231,                0.66514,                0.36557,                 1.4723,                 2.6525,                 1.3041,                 1.4481,               0.001532,               0.001532,               0.001532
                     28,                 1.1345,                 1.7876,                0.89562,                 1.1787,                0.69507,                0.60199,                0.64434,                0.35403,                 0.7096,                0.60697,                0.64005,                0.32997,                 1.5488,                  2.792,                 1.3678,                 1.4775,               0.001514,               0.001514,               0.001514
                     29,                 1.1329,                 1.8462,                0.92361,                 1.1852,                0.64271,                0.60199,                0.65898,                0.38833,                0.65333,                0.61194,                0.66308,                0.38272,                 1.5095,                 2.6819,                 1.3185,                 1.4211,               0.001496,               0.001496,               0.001496
                     30,                 1.1188,                 1.7924,                0.88412,                 1.1865,                0.73026,                0.55721,                0.65623,                0.37732,                0.74204,                0.56716,                0.65844,                0.35032,                 1.4935,                  2.885,                 1.3705,                 1.4293,               0.001478,               0.001478,               0.001478
                     31,                 1.1312,                 1.8073,                0.88018,                 1.1853,                0.61962,                0.65672,                0.65561,                0.37979,                0.60857,                0.66169,                0.65928,                0.36262,                 1.4601,                 2.5716,                 1.3644,                 1.4039,                0.00146,                0.00146,                0.00146
                     32,                 1.0928,                 1.7713,                0.85915,                 1.1623,                 0.7053,                0.63184,                0.68011,                0.39681,                0.69633,                0.64179,                0.68028,                0.38133,                  1.479,                 2.7994,                 1.2941,                 1.3989,               0.001442,               0.001442,               0.001442
                     33,                 1.0895,                 1.7492,                0.85501,                 1.1564,                0.59211,                0.70647,                0.67648,                0.38483,                0.61489,                0.72139,                0.70599,                0.38725,                 1.5277,                 2.8525,                 1.2692,                 1.4633,               0.001424,               0.001424,               0.001424
