                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.137,                 1.8496,                0.96738,                 1.2098,                0.66198,                0.67229,                0.69151,                0.40149,                0.67178,                0.68224,                0.70638,                0.39891,                  1.423,                 2.5816,                 1.2585,                  1.397,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.1785,                 1.9037,                 1.0196,                 1.2247,                 0.6275,                0.60199,                0.63248,                0.36214,                0.67361,                0.60697,                 0.6475,                0.34504,                 1.4962,                 2.6448,                 1.3567,                 1.4764,              0.0013092,              0.0013092,              0.0013092
                      3,                  1.225,                 1.9919,                 1.0597,                 1.2573,                0.68877,                0.51741,                 0.5868,                0.32207,                0.68562,                0.56219,                0.61055,                 0.3186,                 1.6397,                 2.9967,                 1.5373,                 1.5632,              0.0019571,              0.0019571,              0.0019571
                      4,                 1.2464,                 1.9463,                 1.0471,                 1.2601,                0.56189,                0.65672,                0.56221,                0.28871,                 0.5722,                0.61886,                0.56267,                0.27427,                 1.6738,                 3.1306,                 1.5448,                 1.5684,              0.0019576,              0.0019576,              0.0019576
                      5,                 1.2676,                 1.9868,                 1.0641,                 1.2793,                0.59857,                0.51244,                0.55774,                0.29598,                0.66333,                0.50974,                0.58083,                0.28944,                 1.6085,                 3.2151,                 1.7348,                 1.5468,              0.0019434,              0.0019434,              0.0019434
                      6,                  1.237,                 1.9734,                 1.0582,                 1.2687,                0.66227,                0.59512,                 0.5949,                0.32702,                0.69952,                0.60199,                0.62708,                0.31956,                 1.6106,                 2.8547,                 1.4503,                 1.5398,              0.0019293,              0.0019293,              0.0019293
                      7,                  1.195,                 1.9184,                0.99832,                 1.2338,                0.66786,                0.64025,                0.66528,                0.35746,                0.68347,                0.65174,                0.67361,                0.34248,                 1.5219,                 2.9913,                 1.4829,                  1.536,              0.0019151,              0.0019151,              0.0019151
                      8,                 1.2197,                 1.9636,                 1.0172,                 1.2446,                0.55976,                0.54229,                0.52863,                0.26243,                0.56769,                0.53572,                0.53897,                0.25428,                 1.7804,                 2.9324,                 1.7224,                 1.7462,               0.001901,               0.001901,               0.001901
                      9,                 1.2015,                 1.9175,                 1.0161,                 1.2325,                0.63414,                0.61225,                0.62119,                0.35256,                0.63414,                0.61225,                0.63669,                0.33944,                 1.5467,                 2.8853,                 1.4234,                   1.45,              0.0018869,              0.0018869,              0.0018869
                     10,                 1.1725,                  1.906,                0.98972,                 1.2287,                0.64043,                0.59204,                0.63435,                0.35975,                0.66938,                0.61692,                0.67288,                0.34036,                 1.5493,                 2.8077,                 1.3431,                 1.4948,              0.0018727,              0.0018727,              0.0018727
                     11,                   1.16,                 1.8544,                0.96548,                 1.2075,                0.60672,                0.63682,                0.62392,                0.35143,                0.64304,                0.64677,                0.63515,                0.33187,                 1.6039,                 2.8569,                 1.3274,                 1.5282,              0.0018586,              0.0018586,              0.0018586
                     12,                 1.1378,                 1.8008,                0.92484,                 1.1911,                0.66239,                0.61194,                0.63582,                0.38389,                0.68974,                0.63044,                0.65368,                0.36238,                 1.4468,                 2.8002,                 1.2875,                 1.4102,              0.0018444,              0.0018444,              0.0018444
                     13,                   1.15,                 1.8363,                0.93315,                 1.2129,                0.58792,                0.66667,                0.62693,                0.35277,                0.60703,                0.68657,                0.64355,                0.34052,                 1.5613,                 2.8054,                 1.3855,                 1.4982,              0.0018303,              0.0018303,              0.0018303
                     14,                 1.1725,                 1.8547,                0.97778,                 1.2225,                0.67078,                0.62847,                0.64454,                0.35274,                0.67206,                0.61194,                0.63118,                0.34244,                 1.6196,                 2.8434,                  1.445,                 1.5714,              0.0018161,              0.0018161,              0.0018161
                     15,                 1.1529,                 1.8306,                0.91609,                 1.2036,                0.73337,                0.60697,                0.63807,                0.35847,                0.76145,                0.63522,                0.67311,                0.35208,                 1.5018,                 2.6099,                  1.306,                 1.4615,               0.001802,               0.001802,               0.001802
                     16,                 1.1382,                 1.8158,                0.90509,                 1.1776,                0.68422,                 0.5929,                0.65503,                0.37146,                0.72821,                0.61194,                0.68557,                0.38024,                 1.5496,                 2.6729,                 1.2762,                 1.4822,              0.0017879,              0.0017879,              0.0017879
